block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
longdress_4g_u100_s151,longdress,4g,100,151,0.759503642481833,0.8789999645568339,0.9891452128701568,0.1012175964653774,0.3000000072119473,CLUSTERING_COMPONENT,0.6624170907814085,0.09708655170042446,0.11470139298363702
longdress_4g_u100_s152,longdress,4g,100,152,0.7143027868368026,0.8039999271217336,0.9879797768313923,0.10061409096057036,0.3000000072119473,CLUSTERING_COMPONENT,0.6468190984625783,0.06748368837422425,0.11169550831394946
longdress_4g_u100_s153,longdress,4g,100,153,0.7667091670167168,0.8879999836814367,0.9891382249968922,0.0891691962757888,0.3000000072119473,CLUSTERING_COMPONENT,0.6682729869927244,0.09843618002399235,0.11601765738801664
longdress_4g_u20_s151,longdress,4g,20,151,0.42114221299015075,0.3200000026345243,0.9495283531911681,0.05493251258903899,0.3000000072119473,CLUSTERING_COMPONENT,0.5056082591827948,-0.08446604619264408,0.2758238395930284
longdress_4g_u20_s152,longdress,4g,20,152,0.4094518185856579,0.3000000072119473,0.95,0.05365457161006991,0.3000000072119473,CLUSTERING_COMPONENT,0.4980874406235171,-0.08863562203785924,0.24312809711718397
longdress_4g_u20_s153,longdress,4g,20,153,0.42111296533044373,0.3200000026345243,0.9492658563823587,0.05469000230573683,0.3000000072119473,RULE_COMPONENT,0.5207408082912031,-0.09962784296075933,0.21721156528060565
longdress_4g_u60_s151,longdress,4g,60,151,0.7481173636298473,0.8662499699654591,0.9821967816002984,0.11454542499668516,0.3000000072119473,CLUSTERING_COMPONENT,0.6696680020994324,0.07844936153041482,0.13539940118824517
longdress_4g_u60_s152,longdress,4g,60,152,0.7367732794815844,0.8491666370525519,0.9821075472403982,0.1216905970669749,0.3000000072119473,CLUSTERING_COMPONENT,0.6664336986081913,0.07033958087339309,0.1248535244259483
longdress_4g_u60_s153,longdress,4g,60,153,0.7051424003373464,0.7979166537056348,0.9809045400746293,0.12555817936461197,0.3000000072119473,CLUSTERING_COMPONENT,0.6553762418136295,0.04976615852371691,0.14490402560805707
longdress_5g_dominant_u100_s151,longdress,5g_dominant,100,151,0.7792398046780802,0.9069999888346227,0.9896308681734719,0.08245270444040947,0.3000000072119473,CLUSTERING_COMPONENT,0.6411920767198211,0.13804772795825904,0.1035552711711374
longdress_5g_dominant_u100_s152,longdress,5g_dominant,100,152,0.7356679741832965,0.8354999373738136,0.989070382337073,0.08599722550173217,0.0,CLUSTERING_COMPONENT,0.6669879921342298,0.06867998204906678,0.10723360320578337
longdress_5g_dominant_u100_s153,longdress,5g_dominant,100,153,0.7709279483521817,0.8934999708264075,0.9895668482131532,0.08375830797967426,0.0,CLUSTERING_COMPONENT,0.6553551721240818,0.11557277622809992,0.10957290926087594
longdress_5g_dominant_u20_s151,longdress,5g_dominant,20,151,0.48279925096381043,0.4249999748093891,0.9428877696088184,0.05281784216018388,0.0,RULE_COMPONENT,0.6481484580284633,-0.1653492070646529,0.36052854810788065
longdress_5g_dominant_u20_s152,longdress,5g_dominant,20,152,0.49494810488894536,0.44499997023196614,0.9440813672732691,0.05381479379034411,0.0,RULE_COMPONENT,0.656604254063707,-0.16165614917476168,0.34029966557593483
longdress_5g_dominant_u20_s153,longdress,5g_dominant,20,153,0.4854790507077687,0.429999977458698,0.9424635880343595,0.05424555184026619,0.3000000072119473,RULE_COMPONENT,0.6443164378068078,-0.1588373870990391,0.32498632513131115
longdress_5g_dominant_u60_s151,longdress,5g_dominant,60,151,0.7556683223068897,0.8774999749299504,0.9822721399408456,0.10933131757527942,0.0,CLUSTERING_COMPONENT,0.6718435657984134,0.08382475650847632,0.1359449216100161
longdress_5g_dominant_u60_s152,longdress,5g_dominant,60,152,0.7572550006141898,0.8804166484570888,0.9824791843814932,0.11076523036957793,0.0,RULE_COMPONENT,0.6724614437198924,0.08479355689429746,0.16178735855704002
longdress_5g_dominant_u60_s153,longdress,5g_dominant,60,153,0.7236082476527064,0.82416666043071,0.9814813891725986,0.10841397265912892,0.0,RULE_COMPONENT,0.6759500305894693,0.04765821706323703,0.1480540330686697
longdress_5g_u100_s151,longdress,5g,100,151,0.7762995580764385,0.9049999849763406,0.9896682532218967,0.09411664143226728,0.4999999614377176,CLUSTERING_COMPONENT,0.6559270572777678,0.12037250079867068,0.10908712168568419
longdress_5g_u100_s152,longdress,5g,100,152,0.7627409820928384,0.882499955549649,0.989574600099123,0.09435094174487839,0.0,CLUSTERING_COMPONENT,0.6404251226466636,0.12231585944617474,0.11278932279984526
longdress_5g_u100_s153,longdress,5g,100,153,0.7720848898042874,0.8972499827868523,0.9896005094204608,0.09110151481959437,0.0,RULE_COMPONENT,0.6422503924511861,0.12983449735310126,0.10754373762917772
longdress_5g_u20_s151,longdress,5g,20,151,0.48577191830419625,0.4299999698713688,0.9432645356921907,0.053627983611151286,0.0,RULE_COMPONENT,0.699468841282548,-0.2136969229783518,0.3286406276460037
longdress_5g_u20_s152,longdress,5g,20,152,0.4984619454124451,0.4499999652939458,0.9466836249304134,0.054726266643504565,0.0,CLUSTERING_COMPONENT,0.7035939736269768,-0.20513202821453175,0.362277031688029
longdress_5g_u20_s153,longdress,5g,20,153,0.5294431304780174,0.4999999614377176,0.95,0.053712309230754506,0.4999999614377176,RULE_COMPONENT,0.7018653407665143,-0.1724222102884969,0.32644011065186707
longdress_5g_u60_s151,longdress,5g,60,151,0.7557001121518634,0.8783332922909398,0.9821626708668358,0.1122702062627301,0.0,RULE_COMPONENT,0.6865605772255807,0.06913953492628266,0.1412076664948531
longdress_5g_u60_s152,longdress,5g,60,152,0.7831975451233154,0.9245833274538277,0.9828244568705031,0.1150571037773801,0.0,RULE_COMPONENT,0.6779069688725806,0.10529057625073479,0.13941507345808807
longdress_5g_u60_s153,longdress,5g,60,153,0.7490947442401259,0.8687499803674171,0.9817539347737806,0.1172915178251297,0.0,CLUSTERING_COMPONENT,0.6753986467607952,0.0736960974793307,0.13862677034675355
longdress_default_mix_u100_s151,longdress,default_mix,100,151,0.7446550967294875,0.8479999624307806,0.9894718094354752,0.07675222058566397,0.0,CLUSTERING_COMPONENT,0.6364530042199515,0.10820209250953594,0.10693750375204357
longdress_default_mix_u100_s152,longdress,default_mix,100,152,0.7598003113134729,0.8759999595671671,0.9895465167527924,0.08790862410016931,0.4249997507446209,RULE_COMPONENT,0.6518174062702239,0.10798290504324903,0.11202145944906305
