strategy,users,n,decoded_completion_ratio,component_reuse_ratio,bandwidth_per_completed_visible,Rq,U
MD2G-Cast,20,9,0.9027777777777778,0.9490591321485602,30833813.731636114,0.45944442784328504,0.5062657449443606
MD2G-Cast,60,9,0.914814814814815,0.9826436264245252,5200440.514777181,0.8837036762406978,0.7598033256259691
MD2G-Cast,100,9,0.9033333333333334,0.9895234125529956,2416894.626121902,0.8862221886088352,0.7660988125993551
Heuristic,20,9,0.8870370370370371,0.9480155057832825,34529805.72556275,0.5913888797175023,0.5821643130754759
Heuristic,60,9,0.7493827160493827,0.9822759217514402,7239247.99025993,0.5563888755134702,0.5728991849326468
Heuristic,100,9,0.6928032713398287,0.9891739872432669,2715860.150889709,0.42694443125824877,0.49692543526804944
Clustering,20,9,0.8984126984126983,0.9464563276963385,44184398.26194485,0.6895832198050235,0.6362559060735037
Clustering,60,9,0.9375661375661376,0.9819639765723642,5193898.387771126,0.7346757838180566,0.6720336206680838
Clustering,100,9,0.8086772486772487,0.9896391228048927,2642022.424955108,0.6786388773571894,0.6408409744547718
MoQ Unicast,20,9,0.7976364806459297,0.0,440425476.66286427,0.7034721341889996,0.35327898604370134
MoQ Unicast,60,9,0.7808312980068359,0.0,71642974.0055873,0.3539351709577757,0.14337819663268914
MoQ Unicast,100,9,0.9723965141612201,0.0,43956909.12,0.2929999975568085,0.11658822801428086
