strategy,content,network,users,seed,U,Rq,decoded_completion_ratio,component_reuse_ratio,B_shared,B_unicast,bandwidth_per_completed_visible,mean_rx
MoQ Unicast,redandblack,4g,20,152,0.3780686223195198,0.7574998497218017,0.8974358974358975,0.0,5136268890,5136268890,286163552.44285715,493491873.4
Clustering,redandblack,4g,20,153,0.5891449896368349,0.6099998511493447,0.8714285714285714,0.9493977492103146,138597165,2738952573,7952296.352459015,518262616.3
MD2G-Cast,redandblack,4g,20,151,0.4585778657807736,0.3799999904903581,0.7,0.9491144938770527,156910611,3083601264,11207900.785714285,500762239.3
MoQ Unicast,redandblack,4g,20,153,0.3378007283595426,0.688749889876605,0.8205128205128205,0.0,4887371294,4887371294,297824188.22812504,486811138.15
Heuristic,redandblack,4g,60,151,0.5702588368649626,0.5516666546133335,0.7277777777777777,0.9831902987721005,293626700,17467692972,6724275.572519084,485827743.73333335
Heuristic,redandblack,4g,20,151,0.48284793994856173,0.4199999869863178,0.8,0.9497099405661528,259898619,5167991884,16243663.6875,507100580.35
MD2G-Cast,redandblack,4g,20,153,0.4707075036251964,0.399999988738338,0.75,0.949262926005695,156632856,3087147990,10442190.4,504187440.35
Clustering,redandblack,4g,60,151,0.6510233599925104,0.6995831966757791,0.9095238095238095,0.9829362475987617,134751004,7896915100,2469259.2356020943,484505674.78333336
Heuristic,redandblack,4g,20,153,0.48282410863055786,0.4199999869863178,0.8,0.9496532776308132,264330858,5250209856,16520678.625,507729736.55
MD2G-Cast,redandblack,4g,60,151,0.7269893437505931,0.8304166395308886,0.8666666666666667,0.9823342590285906,184935906,10468618684,3556459.730769231,484851034.31666666
MoQ Unicast,redandblack,4g,60,151,0.14618576359238206,0.3608333185066436,0.79,0.0,2402022228,2402022228,50675574.43037974,189267387.31666666
Heuristic,redandblack,4g,60,152,0.5559967265779526,0.5283333210522998,0.7277777777777777,0.9822907499847471,318485178,17984114388,7293553.6946564885,483443048.6166667
Clustering,redandblack,4g,60,152,0.6469619117144441,0.693333181726042,0.9047619047619048,0.9818856615359873,200639994,11076308108,3695999.889473684,485314125.8333333
