strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,4g,20,153,c148dev_redandblack_4g_u20_CLUSTERING_COMPONENT_s153,0.5891449896368349,0.6099998511493447,0.9493977492103146,0.09469572236900378,0.8714285714285714,138597165,2738952573,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,4g,20,151,c148can_redandblack_4g_u20_MD2G_COMPONENT_s151,0.4585778657807736,0.3799999904903581,0.9491144938770527,0.044671679884696266,0.7,156910611,3083601264,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,4g,60,151,c148can_redandblack_4g_u60_HV3_COMPONENT_s151,0.5702588368649626,0.5516666546133335,0.9831902987721005,0.043591537307084656,0.7277777777777777,293626700,17467692972,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,4g,20,151,c148can_redandblack_4g_u20_HV3_COMPONENT_s151,0.48284793994856173,0.4199999869863178,0.9497099405661528,0.043863582565113794,0.8,259898619,5167991884,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,4g,20,153,c148dev_redandblack_4g_u20_MD2G_COMPONENT_s153,0.4707075036251964,0.399999988738338,0.949262926005695,0.0440548074615338,0.75,156632856,3087147990,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,4g,60,151,c148can_redandblack_4g_u60_CLUSTERING_COMPONENT_s151,0.6510233599925104,0.6995831966757791,0.9829362475987617,0.09640413275098299,0.9095238095238095,134751004,7896915100,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,4g,20,153,c148dev_redandblack_4g_u20_HV3_COMPONENT_s153,0.48282410863055786,0.4199999869863178,0.9496532776308132,0.04392801979290755,0.8,264330858,5250209856,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,4g,60,151,c148can_redandblack_4g_u60_MD2G_COMPONENT_s151,0.7269893437505931,0.8304166395308886,0.9823342590285906,0.11229469816725161,0.8666666666666667,184935906,10468618684,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,4g,60,152,c148can_redandblack_4g_u60_HV3_COMPONENT_s152,0.5559967265779526,0.5283333210522998,0.9822907499847471,0.04383969033075987,0.7277777777777777,318485178,17984114388,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,4g,60,152,c148can_redandblack_4g_u60_CLUSTERING_COMPONENT_s152,0.6469619117144441,0.693333181726042,0.9818856615359873,0.09672941803451955,0.9047619047619048,200639994,11076308108,0.0,,False,120,command148_canary_metrics.cell_metrics
