strategy,users,U_mean,Rq_mean,Ro_mean,Rb_mean,completion_mean,n,fair_same_substrate
MD2G-Cast,20,0.5062657449443606,0.45944442784328504,0.9490591321485602,0.0444379653250033,0.9027777777777778,9,True
MD2G-Cast,60,0.7598033256259691,0.8837036762406978,0.9826436264245252,0.10719857816387218,0.914814814814815,9,True
MD2G-Cast,100,0.7660988125993551,0.8862221886088352,0.9895234125529956,0.08676902469463245,0.9033333333333334,9,True
MCG,20,0.6038684705611205,0.6380554877263043,0.9405729033093146,0.09405365267993837,0.9875802662485944,9,True
MCG,60,0.588498758133788,0.5973610852830499,0.9815120619675454,0.10197272351952139,0.9965196900892439,9,True
MCG,100,0.46265160655932064,0.38463888361126347,0.9866412769431216,0.09861361895478574,0.9966675416048175,9,True
Heuristic,20,0.5821643130754759,0.5913888797175023,0.9480155057832825,0.06448594133897395,0.8870370370370371,9,True
Heuristic,60,0.5728991849326468,0.5563888755134702,0.9822759217514402,0.04335413875530236,0.7493827160493827,9,True
Heuristic,100,0.49692543526804944,0.42694443125824877,0.9891739872432669,0.04356480198477708,0.6928032713398287,9,True
Clustering,20,0.6362559060735037,0.6895832198050235,0.9464563276963385,0.09405405155729979,0.8984126984126983,9,True
Clustering,60,0.6720336206680838,0.7346757838180566,0.9819639765723642,0.09508562510560813,0.9375661375661376,9,True
Clustering,100,0.6408409744547718,0.6786388773571894,0.9896391228048927,0.09168088440509958,0.8086772486772487,9,True
Rolling,20,0.007,,,,,3,False
Rolling,60,0.02733333333333333,,,,,3,False
Rolling,100,0.02,,,,,3,False
