strategy,users,n,fair_same_substrate,U_mean,U_ci95_lo,U_ci95_hi,Rq_mean,Rq_ci95_lo,Rq_ci95_hi,decoded_completion_mean,decoded_completion_ci95_lo,decoded_completion_ci95_hi
MD2G-Cast,20,9,True,0.5062657449443606,0.4879718561369992,0.5226818548849406,0.45944442784328504,0.42888887509653106,0.4866666478129173,0.9027777777777778,0.825,0.9694444444444444
MD2G-Cast,60,9,True,0.7598033256259691,0.7442722410187366,0.7740452216487446,0.8837036762406978,0.8579166380180469,0.9076388652368108,0.914814814814815,0.8955555555555557,0.9333333333333333
MD2G-Cast,100,9,True,0.7660988125993551,0.754097353746515,0.7768824939773551,0.8862221886088352,0.8654721874366422,0.9041388525266356,0.9033333333333334,0.8893333333333333,0.9157777777777779
MCG,20,9,True,0.6038684705611205,0.5326320299072241,0.6641976387776632,0.6380554877263043,0.5158333108240769,0.740555445450419,0.9875802662485944,0.9786701202416742,0.9960317460317459
MCG,60,9,True,0.588498758133788,0.5657091590500767,0.6121412805091084,0.5973610852830499,0.5593518241240214,0.6372221953470728,0.9965196900892439,0.9921976293367369,1.0
MCG,100,9,True,0.46265160655932064,0.45547609080117074,0.4693104553982645,0.38463888361126347,0.37066666154878186,0.3973611052586258,0.9966675416048175,0.9941038219712054,0.9991769547325102
Heuristic,20,9,True,0.5821643130754759,0.526213626938905,0.630145820061506,0.5913888797175023,0.4952777673137885,0.6741666581948973,0.8870370370370371,0.8222222222222223,0.9425925925925925
Heuristic,60,9,True,0.5728991849326468,0.5665162527251904,0.5780216138337742,0.5563888755134702,0.5458333199991438,0.5649073936203438,0.7493827160493827,0.7376543209876543,0.7598765432098765
Heuristic,100,9,True,0.49692543526804944,0.49260218261125577,0.501943722247232,0.42694443125824877,0.4196666536029223,0.43538887562158607,0.6928032713398287,0.6303633822501747,0.7488965301044299
Clustering,20,9,True,0.6362559060735037,0.6038753070315347,0.6646663744107466,0.6895832198050235,0.6352776570467299,0.7368054478071605,0.8984126984126983,0.8682539682539683,0.9253968253968254
Clustering,60,9,True,0.6720336206680838,0.661011220187055,0.6832388956848051,0.7346757838180566,0.7163424514527206,0.7532406003060771,0.9375661375661376,0.9238095238095239,0.9513227513227513
Clustering,100,9,True,0.6408409744547718,0.6344809328835331,0.6471459894314577,0.6786388773571894,0.6676111002461842,0.689388876128129,0.8086772486772487,0.7952380952380953,0.8250793650793651
Rule,20,9,True,0.6594725250831502,0.6106249266022663,0.7005307422156614,0.7323610329040546,0.6511110537917381,0.8012499150425173,0.8312236286919831,0.7369901547116737,0.9099859353023909
Rule,60,9,True,0.6664224073018166,0.6564791958749754,0.6742848144643891,0.7206481000595553,0.7039351374308436,0.7337962481997917,0.7689814814814815,0.7550925925925926,0.7810185185185186
Rule,100,9,True,0.5737802513628485,0.5688641305393367,0.5783969548194238,0.5634722039796167,0.5551388711484656,0.5712222044437338,0.5838759591016268,0.5741010462971333,0.5923602281798522
