strategy,users,U_mean,n
MD2G-Cast,20,0.5062657449443606,9
MD2G-Cast,60,0.7598033256259691,9
MD2G-Cast,100,0.7660988125993551,9
MCG,20,0.4233438712540755,7
MCG,60,0.41413620432307846,7
MCG,100,0.41698464479486835,9
Heuristic,20,0.5821643130754759,9
Heuristic,60,0.5728991849326468,9
Heuristic,100,0.49692543526804944,9
Clustering,20,0.6362559060735037,9
Clustering,60,0.6720336206680838,9
Clustering,100,0.6408409744547718,9
Rolling,20,0.007,3
Rolling,60,0.02733333333333333,3
Rolling,100,0.02,3
