strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,20,152,0.45449990983308103,0.3780686223195198,0.7574998497218017,0.0,0.5095419167570748,0.7574998497218017,342.417926,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,20,153,0.6033493479921855,0.5891449896368349,0.6099998511493447,0.9493977492103146,0.09469572236900378,0.6099998511493447,9.239811,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,20,151,0.465278617763478,0.4585778657807736,0.3799999904903581,0.9491144938770527,0.044671679884696266,0.3799999904903581,10.4607074,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,20,153,0.413249933925963,0.3378007283595426,0.688749889876605,0.0,0.5029947037761358,0.688749889876605,325.82475293333334,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,60,151,0.5767975674610253,0.5702588368649626,0.5516666546133335,0.9831902987721005,0.043591537307084656,0.5516666546133335,19.575113333333334,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,20,151,0.4894274773333288,0.48284793994856173,0.4199999869863178,0.9497099405661528,0.043863582565113794,0.4199999869863178,17.3265746,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,20,153,0.4773157247444265,0.4707075036251964,0.399999988738338,0.949262926005695,0.0440548074615338,0.399999988738338,10.4421904,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,60,151,0.6654839799051578,0.6510233599925104,0.6995831966757791,0.9829362475987617,0.09640413275098299,0.6995831966757791,8.983400266666667,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,20,153,0.48941331159949397,0.48282410863055786,0.4199999869863178,0.9496532776308132,0.04392801979290755,0.4199999869863178,17.6220572,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,60,151,0.7438335484756808,0.7269893437505931,0.8304166395308886,0.9823342590285906,0.11229469816725161,0.8304166395308886,12.3290604,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,60,151,0.21649999110398613,0.14618576359238206,0.3608333185066436,0.0,0.4687615167440273,0.3608333185066436,160.1348152,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,60,152,0.5625726801275666,0.5559967265779526,0.5283333210522998,0.9822907499847471,0.04383969033075987,0.5283333210522998,21.2323452,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,60,152,0.661471324419622,0.6469619117144441,0.693333181726042,0.9818856615359873,0.09672941803451955,0.693333181726042,13.3759996,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,20,151,0.42299992505555006,0.34837467335971145,0.7049998750925834,0.0,0.4975016779722573,0.7049998750925834,352.0643409333333,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,60,152,0.7568844570023885,0.7400571404381421,0.8520833072020166,0.9825378907247144,0.11218211042830957,0.8520833072020166,12.455335533333333,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,20,152,0.5628289188974311,0.5485457368066495,0.5424998519510338,0.9493160309072437,0.09522121393854432,0.5424998519510338,9.9138144,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,20,152,0.46536768710462995,0.45886051134101236,0.3799999904903581,0.9494707712416605,0.043381171757450744,0.3799999904903581,17.3803196,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,20,152,0.49543100668118445,0.4887333961900485,0.4299999861103077,0.9497240600599993,0.04465073660757293,0.4299999861103077,10.281529733333333,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,60,152,0.21074998821077917,0.14470670298990246,0.3512499803512986,0.0,0.440288568139178,0.3512499803512986,195.85559126666666,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,20,151,0.6169336734585513,0.6028048248228745,0.632499850882115,0.9497350517171291,0.0941923242378457,0.632499850882115,9.727029,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,60,153,0.7605480190835006,0.7448764879159036,0.8583332832418104,0.9821921965536575,0.104476874450647,0.8583332832418104,12.1525694,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,60,153,0.5885605912807588,0.5819943449856184,0.5716666528613134,0.9822423982558829,0.04377497530093578,0.5716666528613134,15.391829,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,60,153,0.684136166871177,0.6698146565167539,0.7316665248724873,0.9805450077907382,0.09547673569615363,0.7316665248724873,9.5805984,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,60,153,0.1969999976913633,0.12906271162229266,0.3283333294856055,0.0,0.452915240460471,0.3283333294856055,217.71430466666666,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,100,151,0.7678349389771875,0.7533760430955636,0.8674999628234351,0.9893398451325056,0.09639263921082539,0.8674999628234351,11.199093,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,100,151,0.5030632387037762,0.496577860394741,0.42599998646071174,0.9898529873093967,0.04323585539356822,0.42599998646071174,7.1819644,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,100,151,0.6565019943780952,0.6426230616154872,0.68174998889951,0.989808004153557,0.09252621841738629,0.68174998889951,7.314172933333333,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,100,151,0.176399998529082,0.12056708816029016,0.29399999754847,0.0,0.3722194024586123,0.29399999754847,297.13412493333334,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,100,152,0.7811070345216882,0.7682072394549289,0.8894999744185896,0.9896281994821378,0.08599863377839577,0.8894999744185896,9.179546733333334,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,100,152,0.5042059428863882,0.49769633051828455,0.4279999862855097,0.9896238044603296,0.043397415787357715,0.4279999862855097,7.3568092,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,100,152,0.6511976831239016,0.6368651052878268,0.6729999918461629,0.9895907520648155,0.09555051890716507,0.6729999918461629,8.456093466666667,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,100,152,0.176399998529082,0.11114062151905767,0.29399999754847,0.0,0.4350625134001623,0.29399999754847,266.93415093333334,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,4g,100,153,0.7686928693462545,0.7557486921621411,0.8689999692153074,0.9891715512682799,0.08629451456075576,0.8689999692153074,9.3355994,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,4g,100,153,0.4945717932445453,0.4879540937690333,0.41199998768712587,0.9894872025290792,0.04411799650341341,0.41199998768712587,7.393322666666666,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,4g,100,153,0.6407669887507743,0.6292901124297113,0.655499991913175,0.9898679744114772,0.07651250880708654,0.655499991913175,7.330696666666666,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,4g,100,153,0.17459999854409136,0.14476952942413268,0.2909999975734856,0.0,0.19886979413305778,0.2909999975734856,259.8513018,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,151,0.5374999879869422,0.5308480876214668,0.49999997997823714,0.95,0.04434600243650246,0.49999997997823714,53.2799888,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,151,0.6586126767843703,0.6473581633224073,0.7024999912035136,0.9484507282490486,0.07503008974642009,0.7024999912035136,53.980584066666665,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,151,0.6922246985798539,0.6782258720440533,0.7587499207162908,0.9478989846003179,0.09332551023867096,0.7587499207162908,74.50857713333333,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,151,0.3764999925304988,0.3222301252339379,0.6274999875508314,0.0,0.361799115310406,0.6274999875508314,436.11354793333334,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,152,0.5312610320991673,0.5246061460561223,0.48999998085424723,0.9490441743464757,0.04436590695363336,0.48999998085424723,53.33300873333334,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,152,0.6143001431881738,0.603116492388299,0.6299999912542706,0.945200593742446,0.07455767199916533,0.6299999912542706,54.92865426666667,,
