strategy,network,users,seed,Ro,Rq,Rb,A_quality_dominant,B_balanced,C_bandwidth_aware,frozen_paper
Heuristic,4g,60,151,0.9831902987721005,0.5516666546133335,0.043591537307084656,0.578445564253045,0.4916816719327845,0.6186139287126124,0.5702588368649626
Clustering,4g,60,151,0.9829362475987617,0.6995831966757791,0.09640413275098299,0.6766550739176994,0.5224540114752643,0.6422628897805799,0.6510233599925104
MD2G-Cast,4g,60,151,0.9823342590285906,0.8304166395308886,0.11229469816725161,0.766529029660615,0.5600275991477627,0.6706976148552046,0.7269893437505931
Heuristic,4g,60,152,0.9822907499847471,0.5283333210522998,0.04383969033075987,0.5619075057004832,0.4836004487297672,0.6122687826727585,0.5559967265779526
Clustering,4g,60,152,0.9818856615359873,0.693333181726042,0.09672941803451955,0.6720374177119749,0.5199342161447331,0.6400937716908742,0.6469619117144441
MD2G-Cast,4g,60,152,0.9825378907247144,0.8520833072020166,0.11218211042830957,0.7817476821435235,0.567283077770196,0.676244244555784,0.7400571404381421
MD2G-Cast,4g,60,153,0.9821921965536575,0.8583332832418104,0.104476874450647,0.786824050134934,0.5718512710192845,0.6795602004746196,0.7448764879159036
Heuristic,4g,60,153,0.9822423982558829,0.5716666528613134,0.04377497530093578,0.5922376391240024,0.49790649526635666,0.6230941185180358,0.5819943449856184
Clustering,4g,60,153,0.9805450077907382,0.7316665248724873,0.09547673569615363,0.6987278953992733,0.5325677156421722,0.6493199511894525,0.6698146565167539
MD2G-Cast,wifi,60,151,0.9822770300805879,0.8462499932312052,0.08955473958592684,0.7798749273193685,0.5729653062336766,0.6803123284516135,0.7398860425209809
Heuristic,wifi,60,151,0.9822602332100626,0.5549999861224891,0.0432659367357922,0.5806254432541758,0.4925854538895727,0.6190636289517055,0.5720751594656402
Clustering,wifi,60,151,0.9827002654704524,0.7808331814440568,0.09545022467032914,0.7335782576378973,0.5495129610938762,0.6626958719286582,0.6998574415334978
MD2G-Cast,wifi,60,152,0.9826995073248016,0.8908333108120041,0.1078494877570508,0.809338270257658,0.5815970041477487,0.6870957094261392,0.7639974401548452
Heuristic,wifi,60,152,0.9825305194224297,0.573333318985666,0.04316613374192471,0.5935228138002597,0.49875858120241723,0.6238070560221501,0.5831577011857183
Clustering,wifi,60,152,0.9821447935997425,0.7399998683752388,0.09500424766909196,0.7049284418157065,0.5360062942442526,0.652321301976408,0.6752854822747151
MD2G-Cast,wifi,60,153,0.9825977099822829,0.8749999416961692,0.11139697053462884,0.7978798041303122,0.5751322550721154,0.6821995977815266,0.7539398469330779
Heuristic,wifi,60,153,0.982587837045126,0.5691666536482469,0.04348530084434846,0.5905856948783632,0.4972939796417346,0.6227142567235376,0.5806241563235774
Clustering,wifi,60,153,0.9820017761788714,0.7741665251249614,0.09481843542324836,0.7288350792809224,0.5472972713863604,0.660837910514864,0.6957775938062075
