timestamp,headQuat,headEuler,headForw,headLatLon,headTilt,headUV
0,"(-0.00478348, 0.00981143, 0.03934891, -0.99916590)","(0.50345480,358.8549, 355.48450000)","(-0.01998295,-0.00878683, 0.99976170)","(-0.50345490, -1.14505900)",-4.515315,"(0.50000000, 0.50000000)"
0.02777388,"(-0.00481753, 0.00958481,0.03923946, -0.99917230)","(0.50849930,358.8808, 355.49710000)","(-0.01953182,-0.00887487, 0.99976990)","(-0.50849930, -1.11920600)",-4.502717,"(0.50008670, 0.50003070)"
0.03000516,"(-0.00483690,0.00925881,0.03910837, -0.99918040)","(0.51232740,358.9181, 355.51230000)","(-0.01888077,-0.00894168, 0.99978180)","(-0.51232740, -1.08189600)",-4.48751,"(0.50020400, 0.50005490)"
0.04001319,"(-0.00488324,0.00913069,0.03905031, -0.99918360)","(0.51826980,358.9326, 355.51900000)","(-0.01862785,-0.00904539, 0.99978550)","(-0.51826990, -1.06740300)",-4.480826,"(0.50025170, 0.50008940)"
0.0541671,"(-0.00496143,0.00892206,0.03892887, -0.99918990)","(0.52828430,358.9562, 355.53290000)","(-0.01821595,-0.00922017, 0.99979160)","(-0.52828440, -1.04379900)",-4.466905,"(0.50033280, 0.50014790)"
0.06769543,"(-0.00506484,0.00877918,0.03883329, -0.99919430)","(0.54086140,358.9721, 355.54380000)","(-0.01793758,-0.00943967, 0.99979450)","(-0.54086140, -1.02784900)",-4.455973,"(0.50038920, 0.50022010)"
0.08102845,"(-0.00512101,0.00862828,0.03875128, -0.99919850)","(0.54804840,358.9892, 355.55320000)","(-0.01763962,-0.0095651, 0.99979870)","(-0.54804840, -1.01077400)",-4.446512,"(0.50044720, 0.50026200)"
0.09426893,"(-0.00519902,0.00845536,0.03869254, -0.99920180)","(0.55780730,359.0087, 355.56000000)","(-0.01729954,-0.00973542, 0.99980290)","(-0.55780730, -0.99128710)",-4.439723,"(0.50050850, 0.50031770)"
0.1067802,"(-0.00527701,0.00828799,0.03868292, -0.99920320)","(0.56748970,359.0275, 355.56110000)","(-0.01697104,-0.0099044, 0.99980690)","(-0.56748980, -0.97246340)",-4.438664,"(0.50056150, 0.50037200)"
0.1207358,"(-0.00531239,0.00807706,0.03868102, -0.99920480)","(0.57247860,359.0515, 355.56140000)","(-0.01655225,-0.00999147, 0.99981310)","(-0.57247850, -0.94846480)",-4.438355,"(0.50062790, 0.50040010)"
0.1335676,"(-0.00539421,0.00788725,0.03869223, -0.99920550)","(0.58267950,359.0729, 355.56020000)","(-0.01617940,-0.0101695, 0.99981740)","(-0.58267960, -0.92709990)",-4.439591,"(0.50068510, 0.50045690)"
0.1481665,"(-0.00547721,0.00769698,0.03866846, -0.99920740)","(0.59304920,359.0943, 355.56290000)","(-0.01580536,-0.01035048, 0.99982150)","(-0.59304930, -0.90566650)",-4.436855,"(0.50074710, 0.50051540)"
0.1599221,"(-0.00559500,0.00744122,0.03866196, -0.99920900)","(0.60767730,359.1231, 355.56370000)","(-0.01530330,-0.01060577, 0.99982670)","(-0.60767730, -0.87689810)",-4.436016,"(0.50082700, 0.50059720)"
0.1786233,"(-0.00578393,0.00725743,0.03863954, -0.99921010)","(0.63014460,359.1433, 355.56620000)","(-0.01495037,-0.01099788, 0.99982770)","(-0.63014460, -0.85667680)",-4.433454,"(0.50088350, 0.50072710)"
0.1862176,"(-0.00599389,0.00706335,0.03859315, -0.99921210)","(0.65508510,359.1646, 355.57150000)","(-0.01457822,-0.01143314, 0.99982830)","(-0.65508510, -0.83535460)",-4.428194,"(0.50094800, 0.50086590)"
0.1993836,"(-0.00619757,0.00694139,0.03857307, -0.99921240)","(0.67896440,359.1777, 355.57370000)","(-0.01434996,-0.01184988, 0.99982680)","(-0.67896430, -0.82227810)",-4.426026,"(0.50098590, 0.50099860)"
0.2130892,"(-0.00648529,0.00681845,0.03852702, -0.99921330)","(0.71249100,359.1906, 355.57880000)","(-0.01412589,-0.01243499, 0.99982290)","(-0.71249100, -0.80944320)",-4.420845,"(0.50102630, 0.50118520)"
0.2261323,"(-0.00677327,0.00685179,0.03852175, -0.99921130)","(0.74532280,359.1855, 355.57910000)","(-0.01421462,-0.01300797, 0.99981430)","(-0.74532280, -0.81453380)",-4.420446,"(0.50101130, 0.50136770)"
0.2399941,"(-0.00711388,0.00680775,0.03855667, -0.99920790)","(0.78449120,359.189, 355.57490000)","(-0.01415329,-0.01369153, 0.99980610)","(-0.78449120, -0.81102680)",-4.424654,"(0.50101450, 0.50158430)"
0.2530231,"(-0.00748260,0.00686237,0.03866305, -0.99920070)","(0.82638300,359.181, 355.56230000)","(-0.01429236,-0.0144226, 0.99979380)","(-0.82638310, -0.81900510)",-4.437208,"(0.50097880, 0.50181290)"
0.2654742,"(-0.00818565,0.00691408,0.0388373, -0.99918810)","(0.90651210,359.1718, 355.54160000)","(-0.01445274,-0.01582096, 0.99977040)","(-0.90651220, -0.82821350)",-4.457774,"(0.50092160, 0.50225660)"
0.2794133,"(-0.00911506,0.00696728,0.03906489, -0.99917080)","(1.01250700,359.1613, 355.51460000)","(-0.01463516,-0.01767065, 0.99973670)","(-1.01250600, -0.83869370)",-4.484628,"(0.50085830, 0.50284080)"
0.2929834,"(-0.01006603,0.00707277,0.03925202, -0.99915360)","(1.12076400,359.1447, 355.49220000)","(-0.01492380,-0.01955978, 0.99969730)","(-1.12076400, -0.85526600)",-4.506935,"(0.50077940, 0.50343290)"
0.3063038,"(-0.01122639,0.00722793,0.03942133, -0.99913350)","(1.25278300,359.1215, 355.47150000)","(-0.01532844,-0.02186345, 0.99964340)","(-1.25278400, -0.87849950)",-4.527445,"(0.50068500, 0.50416160)"
0.3191465,"(-0.01252647,0.00739048,0.03955359, -0.99911160)","(1.40079500,359.0968, 355.45480000)","(-0.01575877,-0.02444605, 0.99957690)","(-1.40079500, -0.90321830)",-4.543812,"(0.50059070, 0.50497970)"
0.3380277,"(-0.01397441,0.00751058,0.03973472, -0.99908430)","(1.56588000,359.0761, 355.43230000)","(-0.01611795,-0.02732636, 0.99949660)","(-1.56588000, -0.92387560)",-4.565959,"(0.50050020, 0.50589150)"
0.3474678,"(-0.01557944,0.00758952,0.0398326, -0.99905610)","(1.74921700,359.0595, 355.41930000)","(-0.01640586,-0.03052485, 0.99939940)","(-1.74921700, -0.94046700)",-4.578597,"(0.50043160, 0.50690660)"
0.3595885,"(-0.01736542,0.00784373,0.03996891, -0.99901920)","(1.95243100,359.0219, 355.40120000)","(-0.01706022,-0.03406976, 0.99927380)","(-1.95243100, -0.97809370)",-4.596147,"(0.50029810, 0.50803080)"
0.3729326,"(-0.01921700,0.00815915,0.04001962, -0.99898080)","(2.16295800,358.9771, 355.39250000)","(-0.01783979,-0.03774177, 0.99912830)","(-2.16295800, -1.02292800)",-4.604152,"(0.50015590, 0.50919740)"
0.3862206,"(-0.02120543,0.00848029,0.03999382, -0.99893890)","(2.38921200,358.9311, 355.39230000)","(-0.01863875,-0.04168754, 0.99895680)","(-2.38921200, -1.06891300)",-4.603599,"(0.50002030, 0.51045320)"
0.4002408,"(-0.02336825,0.00890954,0.03984357, -0.99889290)","(2.63509000,358.8722, 355.40570000)","(-0.01966150,-0.04597479, 0.99874910)","(-2.63509000, -1.12778700)",-4.589451,"(0.49985050, 0.51181920)"
0.4122019,"(-0.02564580,0.00947697,0.03963152, -0.99884020)","(2.89357400,358.7972, 355.42530000)","(-0.02096472,-0.05048094, 0.99850490)","(-2.89357400, -1.20281200)",-4.568833,"(0.49965550, 0.51325760)"
0.4259333,"(-0.02818127,0.01023855,0.03936099, -0.99877510)","(3.18083300,358.6989, 355.45020000)","(-0.02267050,-0.0554875, 0.99820200)","(-3.18083300, -1.30104000)",-4.542735,"(0.49940220, 0.51485680)"
0.4401022,"(-0.03078171,0.01129271,0.03896643, -0.99870250)","(3.47445200,358.5674, 355.48780000)","(-0.02495502,-0.06060346, 0.99784990)","(-3.47445200, -1.43259900)",-4.503935,"(0.49907290, 0.51649370)"
0.4525777,"(-0.03349596,0.01249098,0.0384921, -0.99861920)","(3.78070100,358.4192, 355.53300000)","(-0.02752612,-0.0659378, 0.99744400)","(-3.78070100, -1.58077100)",-4.457247,"(0.49870260, 0.51820250)"
0.4659507,"(-0.03630711,0.01420505,0.03789248, -0.99852100)","(4.09614200,358.2121, 355.58950000)","(-0.03111961,-0.07143029, 0.99696000)","(-4.09614200, -1.78787900)",-4.399127,"(0.49817460, 0.51996460)"
0.4793204,"(-0.03917499,0.01635062,0.03717947, -0.99840660)","(4.41668100,357.9559, 355.65590000)","(-0.03556215,-0.07700931, 0.99639590)","(-4.41668100, -2.04406400)",-4.331195,"(0.49752520, 0.52175870)"
0.4977148,"(-0.04222419,0.01908325,0.03622948, -0.99826880)","(4.75639500,357.6329, 355.74470000)","(-0.04115995,-0.08291944, 0.99570590)","(-4.75639500, -2.36711400)",-4.240624,"(0.49672170, 0.52367030)"
0.506155,"(-0.04537110,0.02274308,0.0350515, -0.99809600)","(5.10464700,357.2044, 355.85270000)","(-0.04858021,-0.08897508, 0.99484840)","(-5.10464700, -2.79563400)",-4.130763,"(0.49564470, 0.52561400)"
0.5193053,"(-0.04869430,0.02724131,0.03365278, -0.99787490)","(5.47135800,356.6802, 355.97820000)","(-0.05764424,-0.09534815, 0.99377360)","(-5.47135800, -3.31974500)",-4.003452,"(0.49433060, 0.52766840)"
0.5326883,"(-0.05215578,0.03245729,0.03205959, -0.99759630)","(5.85318100,356.0745, 356.11790000)","(-0.06810273,-0.1019797, 0.99245260)","(-5.85318100, -3.92551900)",-3.861836,"(0.49280170, 0.52981760)"
0.5462232,"(-0.05552807,0.03877788,0.0304118, -0.99724020)","(6.22257500,355.3426, 356.25320000)","(-0.08071914,-0.108391, 0.99082580)","(-6.22257400, -4.65740300)",-3.724626,"(0.49091880, 0.53188800)"
0.5611869,"(-0.05904419,0.04603155,0.02853165, -0.99678530)","(6.60835700,354.5042, 356.40330000)","(-0.09513640,-0.115082, 0.98878970)","(-6.60835700, -5.49579700)",-3.572757,"(0.48875960, 0.53405270)"
0.5729608,"(-0.06261407,0.05404298,0.02645768, -0.99622240)","(7.00150200,353.5795, 356.56420000)","(-0.11099090,-0.1218954, 0.98631770)","(-7.00150200, -6.42051600)",-3.410189,"(0.48637440, 0.53626250)"
0.5860898,"(-0.06630734,0.06322567,0.02390632, -0.99550710)","(7.41157200,352.5223, 356.76370000)","(-0.12905350,-0.1289959, 0.98321170)","(-7.41157200, -7.47773100)",-3.209186,"(0.48366510, 0.53856620)"
0.5992029,"(-0.07003337,0.07319811,0.02093091, -0.99463520)","(7.83097200,351.3765, 356.99760000)","(-0.14854260,-0.1362511, 0.97947470)","(-7.83097300, -8.62350000)",-2.974404,"(0.48077340, 0.54092740)"
